keywords,answer1,answer2
immutable,Immutable values in Python are data types whose content cannot be changed after creation$such as integers$strings$and tuples. This property ensures their value remains constant throughout the program$simplifying code and enhancing safety in multi-threaded environments.,"@#In Python$immutable values are objects whose state cannot be modified after they are created. This means that once an immutable object is created$its value cannot be changed.@#@#Some common examples of immutable types in Python include:@#@#int: Integer values$like 5 or 10.@#float: Floating-point numbers$such as 3.14.@#str: Strings$like ""hello"".@#tuple: An ordered collection of items$enclosed within parentheses$e.g.$(1$2$3).@#frozenset: An immutable version of a set$created using the frozenset() function.@#Immutable objects are useful because they guarantee that the object's value will remain constant throughout the program execution. This property simplifies reasoning about the code and makes it safer in multi-threaded or concurrent environments where multiple parts of the program may attempt to access or modify the same data concurrently."
mutable,Mutable Data Types@#Mutable objects allow their content to be altered after creation. This is useful when you need to change the size of the object$or the content stored within it$without creating a new object.,Mutable values in Python are data types whose content can be changed after creation. This means that you can modify their state$such as adding or removing elements. Common mutable types include lists$dictionaries$and sets. Unlike immutable types$mutable objects can be altered$which can be useful for dynamic data manipulation$but requires careful handling to avoid unintended changes or concurrency issues.
runtime errors$runtime error,A runtime error in programming occurs when an issue arises during the execution of a program that prevents it from running correctly. Unlike syntax errors$which are caught at compile time before the program is run$runtime errors are detected only as the program executes. These errors can cause the program to stop abruptly$behave unexpectedly$or produce incorrect results.,"A runtime error in programming occurs when an issue arises during the execution of a program that prevents it from running correctly. Unlike syntax errors$which are caught at compile time before the program is run$runtime errors are detected only as the program executes. These errors can cause the program to stop abruptly$behave unexpectedly$or produce incorrect results.@#@#Common Types of Runtime Errors in Python@#Division by zero: Attempting to divide a number by zero.@#@## Example@#result = 10$0  # This will raise a ZeroDivisionError.@#Indexing errors: Accessing an index that is out of range for a list.@#@## Example@#my_list = [1$2$3]@#element = my_list[3]  # IndexError$as valid indices are 0$1$2.@#Type errors: Performing an operation on incompatible types.@#@## Example@#'2' + 2  # TypeError$trying to add a string to an integer.@#Name errors: Using a variable before it has been defined.@#@## Example@#print(x)  # NameError if x has not been defined previously.@#File errors: Errors related to file handling like trying to open a file that does not exist.@#@## Example@#with open(""nonexistent_file.txt"") as file:@#    data = file.read()  # This will raise a FileNotFoundError.@#Memory errors: Trying to use more memory than is available$typically seen with infinite loops or excessive data load.@#@## Hypothetical Example@## This could potentially create a memory error if it runs indefinitely or the data structure grows too large.@#my_list = []@#while True:@#    my_list.append('data')@#Handling Runtime Errors@#In Python$runtime errors can often be managed and mitigated using exception handling$primarily through the use of try and except blocks. This allows the program to continue running or fail gracefully even if an error occurs:@#@#try:@#    # Attempt to execute code that may cause an error@#    result = 10$0@#except ZeroDivisionError:@#    # Handle the error@#    print(""Attempted to divide by zero."")@#finally:@#    # Optional: Execute code that should run whether or not the error occurred@#    print(""Cleanup actions go here."")@#Proper error handling is crucial for building robust programs that can deal with unexpected situations without crashing unexpectedly."
Syntax Error$syntax errors,A syntax error in programming refers to a mistake in the use of the language's set syntax rules. These errors are detected at the compilation or interpretation stage before the program is executed. Syntax errors are akin to grammatical errors in human languages and prevent the program from being correctly parsed and translated into executable code.,"A syntax error in programming refers to a mistake in the use of the language's set syntax rules. These errors are detected at the compilation or interpretation stage before the program is executed. Syntax errors are akin to grammatical errors in human languages and prevent the program from being correctly parsed and translated into executable code.@#@#Common Causes of Syntax Errors in Python@#Misspelled Keywords: Using incorrect spellings for reserved words in Python.@#python@## Example@#foor x in range(10):  # ""foor"" instead of ""for""@#    print(x)@#Incorrect Indentation: Python uses indentation to define the scope of loops$functions$conditionals$and other blocks.@#python@## Example@#def my_function():@#print(""Hello$world!"")  # This will raise an IndentationError.@#Missing or Extra Parentheses$Brackets$or Braces: Forgetting to close a parenthesis$bracket$or using them excessively.@#@## Example@#my_list = [1$2$3@#print(my_list)  # SyntaxError due to missing closing bracket ']'@#Misplaced or Missing Punctuation: Incorrectly placed commas$colons$etc.@#@## Example@#if x > 0@#    print(""x is greater than 0"")  # Missing colon after the condition in the if statement@#Incompatible or Missing Operators: Misusing or forgetting to include necessary operators.@#@## Example@#result = 5 +  # SyntaxError because the expression is incomplete@#Effects of Syntax Errors@#Syntax errors prevent a program from starting because the interpreter cannot parse the code into a form it can execute. The error messages generated by these mistakes typically include:@#@#The location (line number and possibly the character position) where the error was detected.@#A description of the error.@#Sometimes$a caret (^) pointing to the approximate point of error in the line.@#Resolving Syntax Errors@#To resolve syntax errors:@#@#Carefully read the error message: Python's error messages are usually descriptive and give a good indication of what and where the problem is.@#Check the indicated line: Look at the line the error message points to and lines immediately above it; often$the issue might start earlier than the indicated point.@#Review the syntax: Ensure that the syntax matches Python's requirements$including indentation$punctuation$and structure.@#Here's an example of fixing a syntax error:@#@#@## Faulty code@#if x > 0@#    print(""x is greater than 0"")@#@## Corrected code@#if x > 0:@#    print(""x is greater than 0"")  # Added a colon at the end of the if statement@#Syntax errors are a common part of learning and working with any programming language and getting familiar with reading and understanding syntax error messages is a key skill in debugging.@#@#@#@#@#"
Decorators,A way to modify or enhance functions and methods without permanently modifying them. Useful for adding functionality$like logging or access control$transparently.,"Decorators are functions that modify the behavior of another function. They are especially useful for adding functionality to existing functions in a clean$extensible way.@#@#Example:@#def my_decorator(func):@#    def wrapper():@#        print(""Something is happening before the function is called."")@#        func()@#        print(""Something is happening after the function is called."")@#    return wrapper@#@#@my_decorator@#def say_hello():@#    print(""Hello!"")@#@#say_hello()@#This outputs:@#@#vbnet@#Something is happening before the function is called.@#Hello!@#Something is happening after the function is called."
Generators,Special functions that return an iterator. They use yield statements to produce a series of values lazily$which helps in memory efficiency.,Generators provide a way to lazily evaluate data$yielding one item at a time. This is often more memory efficient than materializing the data all at once.@#@#Example:def countdown(num):@#    while num > 0:@#        yield num@#        num -= 1@#@#for x in countdown(5):@#    print(x)                                                                                                                                                                                                                             This will print numbers from 5 down to 1$one at a time.
Context Managers,Enable resource management like file or network connections with with statements$ensuring that resources are properly cleaned up after use.,from contextlib import contextmanager@#@#@contextmanager@#def open_file(file$mode):@#    f = open(file$mode)@#    yield f@#    f.close()@#@#with open_file('sample.txt'$'w') as f:@#    f.write('Hello$world!')@#@## File is automatically closed after the with block
Coroutines and Asyncio,Support for writing concurrent code using async and await syntax in Python$useful for I/O bound and high-level structured network code.,"Asyncio is a library to write concurrent code using the async/await syntax. It is used mostly for asynchronous I/O operations.import asyncio@#@#async def main():@#    print('Hello')@#    await asyncio.sleep(1)@#    print('World')@#@#asyncio.run(main())                                                                                                                                                                                                                            This asynchronous program prints ""Hello""$waits for 1 second$and then prints ""World""."
Metaclasses,Classes of classes; they define how a class behaves. A deep Python feature for creating classes dynamically.,Classes of classes; they define how a class behaves. A deep Python feature for creating classes dynamically.
Descriptors,Manage the attributes of different classes using the protocol methods __get__$__set__$and __delete__. Useful for creating typed fields and self-managing properties.,Manage the attributes of different classes using the protocol methods __get__$__set__$and __delete__. Useful for creating typed fields and self-managing properties.
Multithreading$Multiprocessing,Techniques for performing operations concurrently. Crucial for performance optimization$especially in I/O bound and CPU bound operations.,"Python provides the threading and multiprocessing modules to run code concurrently. While threading is limited by Python's GIL$multiprocessing module is used for CPU-bound tasks.                                                                                                                                             Multithreading Example:import threading@#@#def print_cube(num):@#    print(""Cube: {}"".format(num * num * num))@#@#def print_square(num):@#    print(""Square: {}"".format(num * num))@#@#if __name__ == ""__main__"":@#    t1 = threading.Thread(target=print_square$args=(10$))@#    t2 = threading.Thread(target=print_cube$args=(10$))@#@#    t1.start()@#    t2.start()@#@#    t1.join()@#    t2.join()                                                                                                                                                                                                                                 Multiprocessing Example:from multiprocessing import Process@#@#def print_cube(num):@#    print(""Cube: {}"".format(num * num * num))@#@#def print_square(num):@#    print(""Square: {}"".format(num * num))@#@#if __name__ == ""__main__"":@#    p1 = Process(target=print_square$args=(10$))@#    p2 = Process(target=print_cube$args=(10$))@#@#    p1.start()@#    p2.start()@#@#    p1.join()@#    p2.join()                                                                                                                                                                                                                       These examples illustrate the basic usage of some advanced Python topics$showing practical applications that might be common in real-world software development. Each topic can greatly enhance the functionality and efficiency of your Python applications."
Memory Management,Understanding Python's garbage collection$reference counting$and the Global Interpreter Lock (GIL).,Garbage Collection Example:@#Python uses a form of garbage collection known as reference counting to clean up unused objects. An example to illustrate how reference counting works:import sys@#@#a = []@#b = a  # `a` is now referenced by `b`@#@#print(sys.getrefcount(a))  # Outputs: 3 references (from `a`$`b`$and the argument to `getrefcount`)@#@#del b  # Remove one reference@#print(sys.getrefcount(a))  # Outputs: 2 references (from `a` and the `getrefcount` argument)
Unit Testing$Test-Driven Development$TDD,Writing Python extensions in C for performance-critical components.,Unit Testing with unittest:@#Here's how you might write a unit test using Python's built-in unittest framework:import unittest@#@#def add(a$b):@#    return a + b@#@#class TestAddFunction(unittest.TestCase):@#    def test_add(self):@#        self.assertEqual(add(1$2)$3)@#@#if __name__ == '__main__':@#    unittest.main()
Data Classes,A decorator and functions that automatically add special methods to classes$like __init__() and __repr__()$based on class variables.,"Using Data Classes:@#Python 3.7 introduced data classes$which automate the generation of special methods like __init__() and __repr__():from dataclasses import dataclass@#@#@dataclass@#class Product:@#    name: str@#    quantity: int@#    price: float@#@#product = Product(""Apple""$10$0.30)@#print(product)"
Type Hints$Static Analysis,Using type hints (PEP 484) for static type checking in Python$enhancing maintainability and IDE support.,"Type Hint Example:@#Type hints help in static type checking and improve readability: def greet(name: str) -> str:@#    return f""Hello${name}""@#@#print(greet(""Alice""))"
Package,Creating and distributing your own Python packages$managing dependencies with tools like ' pip ' and ' virtualenv '.,"Example of Creating a Python Package:@#Here's a simplified version of what a Python package might look like:mypackage/@#├── __init__.py @#├── module.py@#└── setup.py                                                                                                                                                                                                           setup.py might contain:from setuptools import setup@#@#setup(@#    name=""mypackage""$@#    version=""0.1""$@#    packages=[""mypackage""]$@#    install_requires=[@#        ""numpy""$@#    ]@#)"
OOP,Deep dive into abstract base classes$class factories$and the use of super().,Using super() in Inheritance:@#Example of using super() to call methods from a parent class: class Base:@#    def __init__(self$name):@#        self.name = name@#@#class Child(Base):@#    def __init__(self$name$age):@#        super().__init__(name)@#        self.age = age
Functional Programming,Using Python features to support functional programming paradigms like lambda$map$filter$and functools.,Functional Programming Example:@#Using map$filter$and functools.reduce:from functools import reduce@#@#numbers = [1$2$3$4$5]@#@## Using map to square numbers@#squared = list(map(lambda x: x**2$numbers))@#@## Using filter to find even numbers@#even = list(filter(lambda x: x % 2 == 0$squared))@#@## Using reduce to sum all numbers@#sum_total = reduce(lambda x$y: x + y$even)@#@#print(squared$even$sum_total)                                                                                                                                                                             These examples should give you a deeper understanding and practical insights into these advanced Python topics$demonstrating how they can be utilized in real-world programming scenarios.@#@#@#@#@#@#
Concurrency$Threads,Explore Python's threading module for concurrent execution$and the multiprocessing module to bypass the Global Interpreter Lock (GIL) for CPU-bound tasks.,Concurrency involves making progress on more than one task simultaneously. In Python$this is typically achieved through threads and processes.@#@#Example:import threading@#@#def print_numbers():@#    for i in range(5):@#        print(i)@#@#thread = threading.Thread(target=print_numbers)@#thread.start()@#thread.join()
Asynchronous Programming$async$await,Dive deeper into Python’s asynchronous capabilities with libraries like asyncio$which allow for writing concurrent code using a single-threaded$single-process approach., Asynchronous programming is a style of concurrent programming in which tasks release the CPU during waiting periods$allowing other tasks to run.                                                                                                                                                                                            Example:                                                                                                                                                                                                                       import asyncio@#async def main():@#    print('Hello')@#    await asyncio.sleep(1)@#    print('World')@#@#asyncio.run(main())
Network Programming,Utilize sockets or higher-level libraries like asyncio streams$or frameworks like Twisted for network application development.," Involves more complex aspects of handling network operations like socket programming$or using higher-level libraries for network interactions.@#@#Example:                                                                                                                                                                                                              import socket                                                                                                                                                                                                                s = socket.socket(socket.AF_INET$socket.SOCK_STREAM)@#s.connect((""example.com""$80))@#s.sendall(b""GET$HTTP/1.1\r\nHost: example.com\r\n\r\n"")@#data = s.recv(1024)@#print(data.decode())@#s.close()"
Web Development$Frameworks,Understand frameworks like Django and Flask in more depth$including their ORM capabilities$middleware$form handling$and template processing.,"Utilizing robust frameworks such as Django or Flask to create complex web applications.@#@#Example:from flask import Flask@#app = Flask(__name__)@#@#@app.route(""/"")@#def home():@#    return ""Hello$World!""@#@#if __name__ == ""__main__"":@#    app.run(debug=True)"
Data Science$Machine Learning,Apply Python for data analysis with pandas$numerical computations with NumPy$and machine learning using libraries like scikit-learn and TensorFlow.,Using Python libraries such as pandas$NumPy$scikit-learn$and TensorFlow to analyze data and build machine learning models.@#@#Example:                                                                                                                                                                                                                 from sklearn.ensemble import RandomForestClassifier@#from sklearn.datasets import load_iris@#@#data = load_iris()@#model = RandomForestClassifier()@#model.fit(data.data$data.target)@#print(model.predict([data.data[0]]))
Database,Implement advanced database management techniques using SQLAlchemy for database-agnostic code or explore newer asynchronous ORMs like Tortoise ORM.,"Connecting and interacting with databases using libraries like SQLAlchemy to manage data persistence.@#@#Example:                                                                                                                                                                                                                 from sqlalchemy import create_engine@#engine = create_engine('sqlite:///example.db')@#connection = engine.connect()@#result = connection.execute(""select * from users"")@#for row in result:@#    print(row)@#connection.close()"
Microservices,Develop microservices using Python$exploring service-oriented architectures$Docker containers$and Kubernetes for orchestration.,"Building small$modular$and independently deployable services that work together to form a larger application.@#@#Example:                                                                                                                                                                                                                 from flask import Flask$jsonify@#app = Flask(__name__)@#@#@app.route(""/service"")@#def service():@#    return jsonify({""service"": ""Microservice Example""})@#@#if __name__ == ""__main__"":@#    app.run(port=5001)"
Security$Cryptography,Implement security best practices in Python applications$use cryptographic libraries for secure data handling$and understand common security vulnerabilities.,"Implementing security measures in Python applications$including the use of cryptographic libraries for secure data transmission.@#@#Example:                                                                                                                                                                                                                 from cryptography.fernet import Fernet@#key = Fernet.generate_key()@#cipher_suite = Fernet(key)@#text = cipher_suite.encrypt(b""Secret message!"")@#print(cipher_suite.decrypt(text))"
UI$user interface,Explore more complex graphical user interfaces with libraries like PyQt or Kivy$which offer extensive customization and powerful features.,"Building graphical user interfaces with libraries like PyQt or Tkinter.@#@#Example:                                                                                                                                                                              import tkinter as tk@#@#root = tk.Tk()@#label = tk.Label(root$text=""Hello$GUI!"")@#label.pack()@#root.mainloop()"
Scripting System Administration,Use Python for automating system administration tasks$scripting across platforms$and managing network operations.,Automating system admin tasks using Python scripts$such as file management$configuration$and system monitoring.@#@#Example:                                                                                                                                                                              import os@#os.system('mkdir new_directory')
Performance Optimization,Techniques to profile and optimize Python code$including understanding Python’s execution model and optimizing memory and CPU usage.,Enhancing the speed and efficiency of Python code through profiling tools and optimization techniques.@#@#Example:                                                                                                                                                                                         import cProfile@#def test():@#    return sum([i * 2 for i in range(10000)])@#cProfile.run('test()')
Integration with Other Languages,Integrate Python with other programming languages through APIs$using tools like Cython for C integration$or Jython to run Python on the Java platform., Combining Python with other programming languages$such as C or Java$to leverage their unique capabilities in Python applications.@#@#Example:                                                                                                                                                                                 from ctypes import cdll@#lib = cdll.LoadLibrary('example.dll')@#lib.example_function()
Advanced Testing$CI$CD,Implement continuous integration and continuous delivery pipelines for Python projects$using testing frameworks and tools to automate testing and deployment.,"Using testing frameworks like pytest for advanced testing scenarios and integrating with continuous integration/continuous deployment pipelines.@#@#Example:                                                                                                                                                                                       # pytest example@#def test_sum():@#    assert sum([1$2$3]) == 6$""Should be 6"""
Building APIs$Managing  APIs$Managing  API$Building API,Develop robust APIs using frameworks like FastAPI$which supports asynchronous request handling and is designed for building APIs with Python 3.7+ types.,"Creating and managing web APIs with frameworks like FastAPI to allow applications to communicate with each other over the internet.@#@#Example:                                                                                                                                                                                 from fastapi import FastAPI@#app = FastAPI()@#@#@app.get(""/items/{item_id}"")@#async def read_item(item_id: int):@#    return {""item_id"": item_id}"
Cloud Computing,Utilize Python in cloud environments$understanding how to deploy Python applications on AWS$Azure$or Google Cloud$and manage scalable resources.,Using Python to deploy and manage applications in cloud environments like AWS$Azure$or Google Cloud.@#@#Example:                                                                                                                                                                               import boto3@#ec2 = boto3.resource('ec2')@#for instance in ec2.instances.all():@#    print(instance.id$instance.state)
abs(x)$absolute function$abs()$abs function,Return the absolute value of a number. The argument may be an integer$a floating point number$or an object implementing. If the argument is a complex number$its magnitude is returned.,Returns the absolute value of a number.@#Example: print(abs(-5))  # Output: 5
aiter(async_iterable)$aiter(),Return an asynchronous iterator for an asynchronous iterable. Equivalent to calling x.__aiter__(). Note: Unlike iter()$aiter() has no 2-argument variant., Returns an asynchronous iterator for an asynchronous iterable.@#Example: async def async_iter():@#    for i in range(5):@#        yield i@#@#async def main():@#    async for value in async_iter():@#        print(value)@#@## You would run this with asyncio.run(main())
all(iterable)$all()$all function,Return True if all elements of the iterable are true (or if the iterable is empty). Equivalent to:@#def all(iterable):@#    for element in iterable:@#        if not element:@#            return False@#    return True,Returns True if all elements of the iterable are true (or if the iterable is empty).@#Example:                                                                                                                                                                                         print(all([True$True$True]))  # Output: True@#print(all([True$False$True]))  # Output: False
any(iterable)$any()$any function,Return True if any element of the iterable is true. If the iterable is empty$return False. Equivalent to:@#@#def any(iterable):@#    for element in iterable:@#        if element:@#            return True@#    return False,Returns True if any element of the iterable is true. If the iterable is empty$return False.@#Example:                                                                                                                                                                       print(any([False$True$False]))  # Output: True@#print(any([False$False$False]))  # Output: False
ascii(object)$ascii()$ascii function,As repr()$return a string containing a printable representation of an object$but escape the non-ASCII characters in the string returned by repr() using \x$\u$or \U escapes. This generates a string similar to that returned by repr() in Python 2.,"Return a string containing a printable representation of an object$but with non-ASCII characters escaped.@#Example:                                                                                                                                                                    print(ascii(""Špân""))  # Output: '\u0160p\xe2n'"
bin(x)$bin(),Convert an integer number to a binary string prefixed with “0b”. The result is a valid Python expression. If x is not a Python int object$it has to define an __index__() method that returns an integer. Some examples:@#@#>>>@#bin(3)@#'0b11'@#bin(-10)@#'-0b1010'@#If the prefix “0b” is desired or not$you can use either of the following ways.@#@#>>>@#format(14$'#b')$format(14$'b')@#('0b1110'$'1110')@#f'{14:#b}'$f'{14:b}'@#('0b1110'$'1110'), Convert an integer number to a binary string prefixed with “0b”.@#Example:                                                                                                                                                                         print(bin(10))  # Output: '0b1010'
breakpoint(),This function drops you into the debugger at the call site. Specifically$it calls sys.breakpointhook()$passing args and kws straight through. By default$sys.breakpointhook() calls pdb.set_trace() expecting no arguments. In this case$it is purely a convenience function so you don’t have to explicitly import pdb or type as much code to enter the debugger. However$sys.breakpointhook() can be set to some other function and breakpoint() will automatically call that$allowing you to drop into the debugger of choice. If sys.breakpointhook() is not accessible$this function will raise RuntimeError.@#@#By default$the behavior of breakpoint() can be changed with the PYTHONBREAKPOINT environment variable. See sys.breakpointhook() for usage details.@#@#Note that this is not guaranteed if sys.breakpointhook() has been replaced.@#@#Raises an auditing event builtins.breakpoint with argument breakpointhook., Drops you into the debugger at the call site.@#Example:                                                                                                                                                                                       # Use this in your code to enter debug mode@## breakpoint()
callable(),Return True if the object argument appears callable$False if not. If this returns True$it is still possible that a call fails$but if it is False$calling object will never succeed. Note that classes are callable (calling a class returns a new instance); instances are callable if their class has a __call__() method.,Check if the object appears callable (i.e.$some kind of function). Returns True if the object is callable$False if not.@#Example:                                                                                                                                                         @#  >> def myfunc():@#            pass@#            print(callable(myfunc))  # Output: True
delattr(),This is a relative of setattr(). The arguments are an object and a string. The string must be the name of one of the object’s attributes. The function deletes the named attribute$provided the object allows it. For example$delattr(x$'foobar') is equivalent to del x.foobar. name need not be a Python identifier (see setattr()).@#,Deletes the named attribute from the object.@#Example:                                                          @#  >>class MyClass:@#                attribute = 5@#                obj = MyClass()@#              delattr(obj$'attribute')@## Trying to access obj.attribute will now raise an AttributeError
dict()$dict,Create a new dictionary. The dict object is the dictionary class. See dict and Mapping Types — dict for documentation about this class.@#@#For other containers see the built-in list$set$and tuple classes$as well as the collections module,Create a new dictionary with the passed keyword arguments.@#Example:                                                                                                                                                                                    my_dict = dict(apple=10$banana=20)@#print(my_dict)  # Output: {'apple': 10$'banana': 20}   
divmod()$divmod function,Take two (non complex) numbers as arguments and return a pair of numbers consisting of their quotient and remainder when using integer division.@#Example:@#  >>print(divmod(7$2)) @#      # Output: (3$1) -- 3 is quotient$1 is remainder,Take two (non-complex) numbers as arguments and return a pair of numbers consisting of their quotient and remainder when using integer division. With mixed operand types$the rules for binary arithmetic operators apply. For integers$the result is the same as (a // b$a % b). For floating point numbers the result is (q$a % b)$where q is usually math.floor(a$b) but may be 1 less than that. In any case q * b + a % b is very close to a$if a % b is non-zero it has the same sign as b$and 0 <= abs(a % b) < abs(b)
enumerate()$enumerate function,Return an enumerate object$iterable must be a sequence$an iterator$or some other object which supports iteration.@#Example:                    @#  >>for index$value in enumerate(['a'$'b'$'c']):@#      print(index$value)  @#      # Output: 0 a$1 b$2 c,Return an enumerate object. iterable must be a sequence$an iterator$or some other object which supports iteration. The __next__() method of the iterator returned by enumerate() returns a tuple containing a count (from start which defaults to 0) and the values obtained from iterating over iterable.@#@#>>>@#seasons = ['Spring'$'Summer'$'Fall'$'Winter']@#list(enumerate(seasons))@#[(0$'Spring')$(1$'Summer')$(2$'Fall')$(3$'Winter')]@#list(enumerate(seasons$start=1))@#[(1$'Spring')$(2$'Summer')$(3$'Fall')$(4$'Winter')]@#Equivalent to:@#@#def enumerate(iterable$start=0):@#    n = start@#    for elem in iterable:@#        yield n$elem@#        n += 1
eval()$eval function, Executes a Python expression passed as a string and returns the result.@#Example:                                                                                                                                                                                        @#  >>x = 1@#       print(eval('x + 1'))  @#        # Output: 2,The arguments are a string and optional globals and locals. If provided$globals must be a dictionary. If provided$locals can be any mapping object.@#@#The expression argument is parsed and evaluated as a Python expression (technically speaking$a condition list) using the globals and locals dictionaries as global and local namespace. If the globals dictionary is present and does not contain a value for the key __builtins__$a reference to the dictionary of the built-in module builtins is inserted under that key before expression is parsed. That way you can control what builtins are available to the executed code by inserting your own __builtins__ dictionary into globals before passing it to eval(). If the locals dictionary is omitted it defaults to the globals dictionary. If both dictionaries are omitted$the expression is executed with the globals and locals in the environment where eval() is called. Note$eval() does not have access to the nested scopes (non-locals) in the enclosing environment.@#@#The return value is the result of the evaluated expression. Syntax errors are reported as exceptions. Example:@#@#>>>@#x = 1@#eval('x+1')@#2
exec()$exec function,"Executes dynamically created Python code which can be a string or object code.@#Example:                                                                                                                                                                                 @#  >>exec('print(""Hello World"")')  @#       # Output: Hello World",This function supports dynamic execution of Python code. object must be either a string or a code object. If it is a string$the string is parsed as a suite of Python statements which is then executed (unless a syntax error occurs). [1] If it is a code object$it is simply executed. In all cases$the code that’s executed is expected to be valid as file input (see the section File input in the Reference Manual). Be aware that the nonlocal$yield$and return statements may not be used outside of function definitions even within the context of code passed to the exec() function. The return value is None.
filter()$filter function$filter,filter() takes a function and an iterable. It returns an iterator containing elements from the iterable for which the function returns True. For example$filter(is_even$numbers) would give you an iterator with only even numbers from the list numbers.,"The filter() function in Python is used to filter elements from an iterable (like a list$tuple$etc.) based on a given function. It takes two arguments:@#@#1)function: This is a function that returns a boolean value (True or False). The function is applied to each element of the iterable$and only those elements for which the function returns True are included in the output.@#2)iterable: This is the iterable (e.g.$list$tuple) from which elements are to be filtered.@#Here's the syntax of the filter() function:@#@#  >>filter(function$iterable)@#The filter() function returns an iterator containing the elements for which the function returns True.@#@#Here's a simple example to illustrate how the filter() function works:@#  >># Function to check if a number is even@#      def is_even(num):@#            return num % 2 == 0@#      # List of numbers@#      numbers = [1$2$3$4$5$6$7$8$9$10]@#@#      # Filter even numbers using the is_even function@#      even_numbers = filter(is_even$numbers)@#@#      # Convert the filter object to a list@#      even_numbers_list = list(even_numbers)@#@#      print(""Even numbers:""$even_numbers_list)@#      Output:@#@#  >>Even numbers: [2$4$6$8$10]@#In this example$the is_even() function is used as the function argument to filter(). The filter() function applies the is_even() function to each element of the numbers list. It returns an iterator containing only those elements for which the is_even() function returns True$i.e.$the even numbers. Finally$the iterator is converted to a list and printed."
format()$format function,Convert a value to a “formatted” representation$as controlled by format_spec. The interpretation of format_spec will depend on the type of the value argument; however$there is a standard formatting syntax that is used by most built-in types: Format Specification Mini-Language.@#@#The default format_spec is an empty string which usually gives the same effect as calling str(value).@#@#A call to format(value$format_spec) is translated to type(value).__format__(value$format_spec) which bypasses the instance dictionary when searching for the value’s __format__() method. A TypeError exception is raised if the method search reaches object and the format_spec is non-empty$or if either the format_spec or the return value are not strings.@#,In all cases$if the optional parts are omitted$the code is executed in the current scope. If only globals is provided$it must be a dictionary (and not a subclass of dictionary)$which will be used for both the global and the local variables. If globals and locals are given$they are used for the global and local variables$respectively. If provided$locals can be any mapping object. Remember that at the module level$globals and locals are the same dictionary. If exec gets two separate objects as globals and locals$the code will be executed as if it were embedded in a class definition.
hash(object)$hash()$hash function,Return the hash value of the object (if it has one). Hash values are integers. They are used to quickly compare dictionary keys during a dictionary lookup. Numeric values that compare equal have the same hash value (even if they are of different types$as is the case for 1 and 1.0).@#,Returns the hash value of the object (if it has one).@#Example:                                                                                                                                                                                         print(hash('Python'))  # Output: Hash value (integer)
hex(x)$hex()$hex function,Convert an integer number to a lowercase hexadecimal string prefixed with “0x”.@#Example:                                                                                                                                                                    @#  >>print(hex(255))  # Output: '0xff',Convert an integer number to a lowercase hexadecimal string prefixed with “0x”. If x is not a Python int object$it has to define an __index__() method that returns an integer. Some examples:@#@#>>>@#hex(255)@#'0xff'@#hex(-42)@#'-0x2a'@#If you want to convert an integer number to an uppercase or lower hexadecimal string with prefix or not$you can use either of the following ways:@#@#>>>@#'%#x' % 255$'%x' % 255$'%X' % 255@#('0xff'$'ff'$'FF')@#format(255$'#x')$format(255$'x')$format(255$'X')@#('0xff'$'ff'$'FF')@#f'{255:#x}'$f'{255:x}'$f'{255:X}'@#('0xff'$'ff'$'FF')
input()$input(prompt)$input function,"Allows user input$optionally providing a prompt.@#Example:                                                                                                                                                                                       @#  >># name = input(""Enter your name: "")@#      # print(""Hello$"" + name)","If the prompt argument is present$it is written to standard output without a trailing newline. The function then reads a line from input$converts it to a string (stripping a trailing newline)$and returns that. When EOF is read$EOFError is raised. Example:@#@#>>>@#s = input('--> ')  @#--> Monty Python's Flying Circus@#s  @#""Monty Python's Flying Circus""@#If the readline module was loaded$then input() will use it to provide elaborate line editing and history features."
isinstance()$isinstance function,@#Checks if the object argument is an instance of the classinfo argument.@#Example:                                                                                                                                                                                      @#  >>print(isinstance(5$int))  # Output: True,Return True if the object argument is an instance of the classinfo argument$or of a (direct$indirect$or virtual) subclass thereof. If object is not an object of the given type$the function always returns False. If classinfo is a tuple of type objects (or recursively$other such tuples) or a Union Type of multiple types$return True if object is an instance of any of the types. If classinfo is not a type or tuple of types and such tuples$a TypeError exception is raised. TypeError may not be raised for an invalid type if an earlier check succeeds.
len(s)$len()$len function,Return the length (the number of items) of an object. The argument may be a sequence (such as a string$bytes$tuple$list$or range) or a collection (such as a dictionary$set$or frozen set).,"Returns the length (the number of items) of an object.@#Example:                                                                                                                                                                          print(len(""Hello""))  # Output: 5"
map()$map function,Return an iterator that applies function to every item of iterable$yielding the results. If additional iterables arguments are passed$function must take that many arguments and is applied to the items from all iterables in parallel. With multiple iterables$the iterator stops when the shortest iterable is exhausted. For cases where the function inputs are already arranged into argument tuples$see itertools.starmap().,Applies function to every item of iterable and returns a list of the results.@#Example:                                                                                                                                                                                    def square(x):@#    return x ** 2@#numbers = [1$2$3$4]@#result = map(square$numbers)@#print(list(result))  # Output: [1$4$9$16]
